Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	765.00	302,216		0.0	1.0	4.5	93%	1	1	1
iTrend Brand Cottage	765.00	85	5-6 days	0.0	1.0	3.5	68%	0	0	0
Reliable Enterprises1	799.00	6		34.0	1.0444	4	67%	1	0	0
EzioInc78	841.00	154	6-8 days	76.0	1.0993	4	83%	0	0	0
UniqueClick	884.00	2,193		119.0	1.1556	4	81%	1	0	0
EXECLUSIVE STORE	845.00	31	6-8 days	80.0	1.1046	4	81%	0	0	0
Samrat international	869.00	7	5-6 days	104.0	1.1359	4.5	86%	0	0	0
clicknsave	999.00	773		234.0	1.3059	4.5	81%	1	0	0
Cloudtrade	1399.00	235	5-6 days	634.0	1.8288	4	84%	0	0	0
FTCPL Exclusive Online ®	1399.00	45	8-9 days	634.0	1.8288	4.5	93%	0	0	0
