Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
UV Techchnologies	790.00	9	6-8 days	0.0	1.0	4	78%	0	0	0
Reliable Enterprises1	859.00	6		69.0	1.0873	4	67%	1	0	0
Appario Retail Private Ltd	859.00	302,216		69.0	1.0873	4.5	93%	1	1	1
EzioInc78	859.00	154	6-8 days	69.0	1.0873	4	83%	0	0	0
EXECLUSIVE STORE	845.00	31	6-8 days	55.0	1.0696	4	81%	0	0	0
Samrat international	869.00	7	5-6 days	79.0	1.1	4.5	86%	0	0	0
clicknsave	949.00	773		159.0	1.2013	4.5	81%	1	0	0
VAISHNAVI TRADER	899.00	47	5-6 days	109.0	1.138	3	57%	0	0	0
Cloudtrade	1399.00	235	5-6 days	609.0	1.7709	4	84%	0	0	0
FTCPL Exclusive Online ®	1399.00	45	8-9 days	609.0	1.7709	4.5	93%	0	0	0
