Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Discount_Store_	3490.00	71		0.0	1.0	4.5	90%	0	0	0
DEALS AMAZING	3559.00	1,250		69.0	1.0198	4	83%	1	0	0
Special Deals	3559.00	31		69.0	1.0198	3.5	74%	1	0	1
OMNI RETAIL	3566.00	228		76.0	1.0218	4.5	84%	1	0	0
Extender	3567.00	201		77.0	1.0221	4.5	90%	1	0	0
CIRCUIT BOARD	3580.00	1,772		90.0	1.0258	5	100%	1	0	0
Digital Xpert	3590.00	1,034		100.0	1.0287	5	97%	1	0	0
Krazzy Deal	3627.00	20		137.0	1.0393	3.5	63%	0	0	0
Sky Sales	3680.00	9		190.0	1.0544	5	100%	1	0	0
M/S COMPU WORLD	3790.00	150	5-6 days	300.0	1.086	4	68%	0	0	0
Best in Tech	4290.00	252		800.0	1.2292	4.5	94%	1	0	0
