Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
ESTOKE	1569.00	17		0.0	1.0	4.5	94%	1	0	1
Appario Retail Private Ltd	1624.00	302,381		55.0	1.0351	4.5	93%	1	1	0
Aalika Zone	1680.00	176		111.0	1.0707	4.5	90%	0	0	0
Samrat international	1626.00	7	11-13 days	57.0	1.0363	4.5	86%	0	0	0
Go_wireless	1690.00	14	11-13 days	121.0	1.0771	4	79%	0	0	0
UniqueClick	1774.00	2,193		205.0	1.1307	4	80%	1	0	0
Shop On	1775.00	234		206.0	1.1313	4.5	92%	1	0	0
SIVA DURGA	1790.00			221.0	1.1409			1	0	0
Online Super Market	1799.00			230.0	1.1466			1	0	0
skylark infotech	1799.00	1	11-13 days	230.0	1.1466	1	0%	0	0	0
MSAssured	1803.00	23	13-14 days	234.0	1.1491	3	54%	0	0	0
FTCPL Exclusive Online ®	1799.00	45	15-16 days	230.0	1.1466	4.5	93%	0	0	0
Jaikara Enterprises	1899.00			330.0	1.2103			0	0	0
Cloudtrade	1999.00	235	13-14 days	430.0	1.2741	4	84%	0	0	0
clicknsave	1999.00	773	14-15 days	430.0	1.2741	4.5	81%	0	0	0
VVC SALES PUNE	2199.00	135		630.0	1.4015	3.5	65%	1	0	0
TOP1MOBILES	2200.00			631.0	1.4022			0	0	0
