Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Oceans Trade Company	1596.00	327		0.0	1.0	3.5	64%	1	0	1
Aalika Zone	1596.00	176	12-14 days	0.0	1.0	4.5	90%	0	0	0
Appario Retail Private Ltd	1597.00	302,323		1.0	1.0006	4.5	93%	1	1	0
ESTOKE	1665.00	17		69.0	1.0432	4.5	94%	1	0	0
Online Electro Mart	1679.00	7		83.0	1.052	3	57%	1	0	0
THE GADGET HUB	1615.00		12-14 days	19.0	1.0119			0	0	0
Samrat international	1626.00	7	11-12 days	30.0	1.0188	4.5	86%	0	0	0
UniqueClick	1758.00	2,193		162.0	1.1015	4	81%	1	0	0
EXECLUSIVE STORE	1718.00	31	11-12 days	122.0	1.0764	4	81%	0	0	0
Online Super Market	1799.00			203.0	1.1272			1	0	0
clicknsave	1799.00	773		203.0	1.1272	4.5	81%	1	0	0
Cloudtrade	1799.00	235		203.0	1.1272	4	84%	0	0	0
Applon	1824.00	44	11-12 days	228.0	1.1429	4.5	89%	0	0	0
M&F Mobile Hut	1800.00		12-14 days	204.0	1.1278			0	0	0
FTCPL Exclusive Online ®	1799.00	45	15-16 days	203.0	1.1272	4.5	93%	0	0	0
SIVA DURGA	1890.00			294.0	1.1842			1	0	0
Shanmukha Priya	1890.00			294.0	1.1842			1	0	0
AaravTraders	1899.00	4		303.0	1.1898	4	75%	0	0	0
MSAssured	1999.00	23		403.0	1.2525	3	54%	0	0	0
VVC SALES PUNE	2199.00	134		603.0	1.3778	3.5	65%	1	0	0
Shiv Solution	2299.00		12-14 days	703.0	1.4405			0	0	0
MS Communication Shop	1899.00			303.0	1.1898			0	0	0
