Seller	No. of times it competes for buybox	No. of times it wins the buybox
WeShop24/7	1	1
MΞILI	2	1
we3®	1	0
e-Bazar	57	31
MrDeal	58	5
BUYMORESAVEMORE	18	0
Appario Retail Private Ltd	753	656
Stylist Sky	1	0
jelly telecom	3	0
Electrolinks	6	0
House Of Electronics	7	0
Krazzy Deal	20	0
thevaluestore	6	0
R K ENTERPRISE 1	3	0
CAMERA ART & SUPPORTS	14	0
M 7 e TRADERS	3	0
The-EStore	27	0
Njoy-Buying	4	0
Cool Mango	26	4
SREE INFO NLR	1	1
Bharathi's	1	0
VeerKrupa Trading	1	0
Online Squad	1	0
Paradise Musicals	8	2
PCK MaaRKETING-9710064000	6	0
Headphone Zone Pvt Ltd	28	20
Peach Imports	254	36
Kiron	153	1
Khem singh enterprises	4	1
Dj Pundits	4	0
G G	88	9
Doonmac	7	0
Cannycom Store	111	40
Choudhary Telecom	5	0
MPEnterprises	12	0
God help telecom	8	0
Ondots	31	2
Siddiqui communication	4	0
SooperDeal	17	2
Mega_tronics	52	2
e9accessories	47	4
ESTOKE	22	16
eTechnology	15	2
skylark infotech	7	0
MAKING POSSIBLE	12	0
FTCPL Exclusive Online ®	19	0
DELHI ELECTRONICS PLAZA	1	0
micronix infosol	3	0
yash2225	5	0
SAILCOM INDIA	1	0
TEXET TECHNOLOGIES PVT LTD	2	0
clicknsave	38	1
Cloudtrade	35	1
GO WIRELESS	6	0
Shoptoz dot com	10	0
Jagadamba Mobiles and Gifts	1	0
BUZZOUT ONLINE	2	0
STAR-MARK	52	37
ecomstars	47	2
Easy Home Deals	3	0
JnY Entertainment	3	0
Kharidiye dot com	10	4
CLICKBUY	134	36
YahOoO	16	8
NAYA GADGET	17	2
WEB-TAIL	35	6
ACCESS	19	3
NSSC	3	0
Starone Electronics	33	12
SOUND MASTERS	14	3
Audio Borealis	4	0
MAY Store	4	2
AST Japan	25	6
Estee Mart	40	6
Express Delivery Retail	56	9
Cambium Retail	59	32
Think Of Us	8	2
Asia Inc	5	1
Zupitex	9	3
DIXIT COMPUTERS	6	0
UV Techchnologies	8	1
Reliable Enterprises1	11	1
EzioInc78	14	1
EXECLUSIVE STORE	19	0
Samrat international	13	1
VAISHNAVI TRADER	4	0
Edifier online store	9	6
