Price + Delivery	Condition	Seller Information	Delivery
  849.00 | Prime : Yes |  |   849.00	New	R.S ENTERPRISES. | 4 out of 5 stars  | 78% positive. | 18 total rating	Fullfilled by Amazon
  849.00 | Prime : Yes |  |   849.00	New	Cloudtail India | 4.5 out of 5 stars  | 90% positive | 1,311,988 total rating	Fullfilled by Amazon
  915.00 | Prime : Yes |  |   915.00	New	Catchy Bags | 4.5 out of 5 stars  | 96% positive | 124 total rating	Fullfilled by Amazon
  917.00 | Prime : No |  | FREE Delivery.	New	Backpack World | 4.5 out of 5 stars  | 94% positive | 1,268 total rating	Not fulfilled by Amazon | 6-7 days
  820.00 | Prime : No |  | +   100.00 Delivery	New	little bazar | 4 out of 5 stars  | 73% positive. | 22 total rating	Not fulfilled by Amazon | 8-9 days
  930.00 | Prime : No |  | +   99.00 Delivery	New	BagStop | 3.5 out of 5 stars  | 57% positive. | 58 total rating	Not fulfilled by Amazon | 8-9 days
  990.00 | Prime : No |  | +   50.00 Delivery	New	Ocean Bag | 4.5 out of 5 stars  | 83% positive. | 6 total rating	Not fulfilled by Amazon
  1,087.00 | Prime : No |  | FREE Delivery.	New	V-THREE | 4 out of 5 stars  | 75% positive | 4 total rating	Not fulfilled by Amazon | 6-7 days
  1,050.00 | Prime : No |  | +   80.00 Delivery	New	Standard enterprise | 4 out of 5 stars  | 100% positive. | 1 ratin	Not fulfilled by Amazon | 9-10 days
  1,150.00 | Prime : No |  | FREE Delivery.	New	Deepsum Bags | 5 out of 5 stars  | 100% positive. | 4 total rating	Not fulfilled by Amazon | 7-8 days
  1,160.00 | Prime : No | +   70 | +   70.00 Delivery	New	gsienterprises | 3 out of 5 stars  | 50% positive. | 6 total rating	Not fulfilled by Amazon | 7-8 days
  1,230.00 | Prime : No | +   70 | +   60.00 Delivery	New	Purvas Shoppe | 4.5 out of 5 stars  | 94% positive. | 18 total rating	Not fulfilled by Amazon | 6-7 days
