Price + Delivery	Condition	Seller Information	Delivery
  1,129.80 | Prime : Yes |  |   1,129.80	New	BAG STREET | 4.5 out of 5 stars  | 91% positive | 375 total rating	Fullfilled by Amazon
  1,470.00 | Prime : No |  | FREE Delivery.	New	THE CONNECT | 4 out of 5 stars  | 75% positive. | 8 total rating	Not fulfilled by Amazon | 11-13 days
  1,490.00 | Prime : Yes |  |   1,490.00	New	YATEE TRADING COMPANY | 4 out of 5 stars  | 78% positive. | 94 total rating	Fullfilled by Amazon
  1,715.00 | Prime : Yes |  |   1,715.00	New	Brands India | 4.5 out of 5 stars  | 89% positive | 247 total rating	Fullfilled by Amazon
  1,699.00 | Prime : No |  | +   50.00 Delivery	New	Ocean Bag | 4.5 out of 5 stars  | 83% positive. | 6 total rating	Not fulfilled by Amazon
  1,661.00 | Prime : No |  | +   99.00 Delivery	New	FASHION BAG KOTA | 1 out of 5 stars  | 0% positive. | 1 ratin	Not fulfilled by Amazon | 8-9 days
  1,762.00 | Prime : No |  | FREE Delivery.	New	V-THREE | 4 out of 5 stars  | 75% positive | 4 total rating	Not fulfilled by Amazon | 6-7 days
  1,880.00 | Prime : No |  | FREE Delivery.	New	V-THREE | 4 out of 5 stars  | 75% positive | 4 total rating	Not fulfilled by Amazon | 6-7 days
  1,899.00 | Prime : No |  | +   50.00 Delivery	New	Paduka partners | 1 out of 5 stars  | 0% positive | 1 total rating	Not fulfilled by Amazon
  1,880.00 | Prime : No |  | +   70.00 Delivery	New	gsienterprises | 3 out of 5 stars  | 50% positive. | 6 total rating	Not fulfilled by Amazon | 8-9 days
