Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
BAG STREET	1129.80	375		0.0	1.0	4.5	91%	1	0	1	2020-07-14 03:07:49.199133
THE CONNECT	1470.00	9		340.2	1.3011	3.5	67%	0	0	0	2020-07-14 03:07:49.199133
YATEE TRADING COMPANY	1490.00	94		360.2	1.3188	4	78%	1	0	0	2020-07-14 03:07:49.199133
Brands India	1715.00	247		585.2	1.518	4.5	89%	1	0	0	2020-07-14 03:07:49.199133
Ocean Bag	1699.00	6		569.2	1.5038	4.5	83%	0	0	0	2020-07-14 03:07:49.199133
FASHION BAG KOTA	1661.00	1	8-9 days	531.2	1.4702	1	0%	0	0	0	2020-07-14 03:07:49.199133
V-THREE	1762.00	4	5-6 days	632.2	1.5596	4	75%	0	0	0	2020-07-14 03:07:49.199133
V-THREE	1880.00	4	5-6 days	750.2	1.664	4	75%	0	0	0	2020-07-14 03:07:49.199133
Paduka partners	1899.00	1		769.2	1.6808	1	0%	0	0	0	2020-07-14 03:07:49.199133
gsienterprises	1880.00	6	7-8 days	750.2	1.664	3	50%	0	0	0	2020-07-14 03:07:49.199133
