Price + Delivery	Condition	Seller Information	Delivery
  1,439.00 | Prime : Yes |  |   1,439.00	New	Highland India | 5 out of 5 stars  | 99% positive | 174 total rating	Fullfilled by Amazon
  1,520.00 | Prime : No |  | FREE Delivery.	New	BrandRoots | 5 out of 5 stars  | 100% positive | 10 total rating	Not fulfilled by Amazon | 6-7 days
  1,524.00 | Prime : Yes |  |   1,524.00	New	S.S.T.Z | 4 out of 5 stars  | 77% positive | 90 total rating	Fullfilled by Amazon
  1,524.00 | Prime : Yes |  |   1,524.00	New	World Market | 4.5 out of 5 stars  | 96% positive | 36 total rating	Fullfilled by Amazon
  1,525.00 | Prime : Yes |  |   1,525.00	New	D-Cart | 4.5 out of 5 stars  | 86% positive | 147 total rating	Fullfilled by Amazon
  1,529.00 | Prime : Yes |  |   1,529.00	New	Cloudtail India | 4.5 out of 5 stars  | 90% positive | 1,312,282 total rating	Fullfilled by Amazon
  1,640.00 | Prime : Yes |  |   1,640.00	New	Verizoni LLC | 3.5 out of 5 stars  | 70% positive | 1,134 total rating	Fullfilled by Amazon
  1,670.00 | Prime : Yes |  |   1,670.00	New	Harricane | 3.5 out of 5 stars  | 66% positive | 249 total rating	Fullfilled by Amazon
  1,689.00 | Prime : Yes |  |   1,689.00	New	DEALS AMAZING | 4 out of 5 stars  | 81% positive | 1,264 total rating	Fullfilled by Amazon
  1,799.00 | Prime : Yes |  |   1,799.00	New	Lioncrown India | 4 out of 5 stars  | 87% positive | 792 total rating	Fullfilled by Amazon
  1,640.00 | Prime : No | +   59 | +   59.00 Delivery	New	Verizoni LLC | 3.5 out of 5 stars  | 70% positive | 1,134 total rating	Not fulfilled by Amazon | 5-6 days
  1,925.00 | Prime : Yes | +   59 |   1,925.00	New	Textech Solutions | 4.5 out of 5 stars  | 91% positive | 311 total rating	Fullfilled by Amazon
  2,060.00 | Prime : Yes | +   59 |   2,060.00	New	ABS Attache and Bags Store | 4 out of 5 stars  | 80% positive. | 25 total rating	Fullfilled by Amazon
