Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
BrandRoots	1520.00	10	6-7 days	0.0	1.0	5	100%	0	0	0	2020-07-14 11:34:10.435180
World Market	1524.00	36		4.0	1.0026	4.5	96%	1	0	1	2020-07-14 11:34:10.435180
SSTZ	1524.00	90		4.0	1.0026	4	77%	1	0	0	2020-07-14 11:34:10.435180
D-Cart	1525.00	147		5.0	1.0033	4.5	86%	1	0	0	2020-07-14 11:34:10.435180
Cloudtail India	1529.00			9.0	1.0059	4.5	90%	1	1	0	2020-07-14 11:34:10.435180
Verizoni LLC	1640.00			120.0	1.0789	3.5	70%	1	0	0	2020-07-14 11:34:10.435180
Harricane	1670.00	249		150.0	1.0987	3.5	66%	1	0	0	2020-07-14 11:34:10.435180
DEALS AMAZING	1689.00			169.0	1.1112	4	81%	1	0	0	2020-07-14 11:34:10.435180
Lioncrown India	1799.00	792		279.0	1.1836	4	87%	1	0	0	2020-07-14 11:34:10.435180
Textech Solutions	1925.00	311		405.0	1.2664	4.5	91%	1	0	0	2020-07-14 11:34:10.435180
Verizoni LLC	1640.00		5-6 days	120.0	1.0789	3.5	70%	0	0	0	2020-07-14 11:34:10.435180
ABS Attache and Bags Store	2060.00	25		540.0	1.3553	4	80%	1	0	0	2020-07-14 11:34:10.435180
