Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Supreme Sports & Uniforms	840.00	62	8-9 days	0.0	1.0	4.5	87%	0	0	0	2020-07-15 05:12:47.570514
BAGS HI BAG	914.80	70		74.8	1.089	4	71%	1	0	1	2020-07-15 05:12:47.570514
Qusai bag centre	915.00		8-9 days	75.0	1.0893			0	0	0	2020-07-15 05:12:47.570514
Big Bazaar	1069.00			229.0	1.2726	3	56%	1	0	0	2020-07-15 05:12:47.570514
BNBLUG	1090.00		6-7 days	250.0	1.2976			0	0	0	2020-07-15 05:12:47.570514
SSTZ	1199.00			359.0	1.4274	4	77%	1	0	0	2020-07-15 05:12:47.570514
Standard enterprise	1250.00		11-12 days	410.0	1.4881	4	100%	0	0	0	2020-07-15 05:12:47.570514
Sh Bala Ji Bag House	1150.00	90	7-8 days	310.0	1.369			0	0	0	2020-07-15 05:12:47.570514
standard bag house	1430.00	1	8-9 days	590.0	1.7024	5	100%	0	0	0	2020-07-15 05:12:47.570514
Ocean Bag	1390.00		5-6 days	550.0	1.6548	4.5	83%	0	0	0	2020-07-15 05:12:47.570514
Deepsum Bags	1500.00		7-8 days	660.0	1.7857	5	100%	0	0	0	2020-07-15 05:12:47.570514
Paduka partners	1499.00	4		659.0	1.7845	1	0%	0	0	0	2020-07-15 05:12:47.570514
gsienterprises	1592.00	6	7-8 days	752.0	1.8952	3	50%	0	0	0	2020-07-15 05:12:47.570514
