Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Nidhi bags	1010.00		5-8 days	30.0	1.0306			0	0	0	2020-07-16 17:03:57.417294
BAGS HI BAG	1019.80			39.8	1.0406	3.5	70%	1	0	1	2020-07-16 17:03:57.417294
BAG STREET	1020.00	70		40.0	1.0408	4.5	91%	1	0	0	2020-07-16 17:03:57.417294
Supreme Sports & Uniforms	980.00	375	8-10 days	0.0	1.0	4.5	87%	0	0	0	2020-07-16 17:03:57.417294
EVAN	1130.00	62		150.0	1.1531	4.5	93%	1	0	0	2020-07-16 17:03:57.417294
THE CONNECT	1150.00		17-18 days	170.0	1.1735	3.5	67%	0	0	0	2020-07-16 17:03:57.417294
Cloudtail India	1239.00	9		259.0	1.2643	4.5	90%	1	1	0	2020-07-16 17:03:57.417294
Deals7x24	1250.00		8-10 days	270.0	1.2755	4	74%	0	0	0	2020-07-16 17:03:57.417294
Desert Retail	1350.00	44	8-10 days	370.0	1.3776	4	79%	0	0	0	2020-07-16 17:03:57.417294
YATEE TRADING COMPANY	1358.00	28		378.0	1.3857	4	78%	1	0	0	2020-07-16 17:03:57.417294
Balaji E	1358.00	94		378.0	1.3857	4	76%	1	0	0	2020-07-16 17:03:57.417294
Ocean Bag	1330.00	34		350.0	1.3571	4.5	83%	0	0	0	2020-07-16 17:03:57.417294
BagStop	1351.00	6	10-11 days	371.0	1.3786	3.5	57%	0	0	0	2020-07-16 17:03:57.417294
eLITESPORTS	1506.00	58	6-7 days	526.0	1.5367	4.5	90%	0	0	0	2020-07-16 17:03:57.417294
cloudind	1649.00	593		669.0	1.6827	4.5	87%	0	0	0	2020-07-16 17:03:57.417294
Brands India	1690.00			710.0	1.7245	4.5	89%	1	0	0	2020-07-16 17:03:57.417294
SmileyEbiz	1699.00	248	7-10 days	719.0	1.7337	1	0%	0	0	0	2020-07-16 17:03:57.417294
SmileyEbiz	1849.00	1	7-10 days	869.0	1.8867	1	0%	0	0	0	2020-07-16 17:03:57.417294
gsienterprises	1832.00	1		852.0	1.8694	3	50%	0	0	0	2020-07-16 17:03:57.417294
The Skool Shoppe	1961.00	6	8-10 days	981.0	2.001			0	0	0	2020-07-16 17:03:57.417294
