Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
BAGS HI BAG	949.20	71		0.0	1.0	3.5	70%	1	0	1	2020-07-17 05:46:56.207172
SEASON SALE	1023.00			73.8	1.0777	4.5	94%	1	0	0	2020-07-17 05:46:56.207172
A Bags world	1028.95	62		79.75	1.084	3.5	71%	1	0	0	2020-07-17 05:46:56.207172
Bagz Hub	1099.00	46	7-9 days	149.8	1.1578	4	80%	0	0	0	2020-07-17 05:46:56.207172
BAG STREET	1177.00	375		227.8	1.24	4.5	91%	1	0	0	2020-07-17 05:46:56.207172
LAHAR SELECTION	1199.00		9-10 days	249.8	1.2632			0	0	0	2020-07-17 05:46:56.207172
Ppj bags	1249.00		10-11 days	299.8	1.3158	4	79%	0	0	0	2020-07-17 05:46:56.207172
ELITE BAGS	1250.00	93		300.8	1.3169	4.5	85%	0	0	0	2020-07-17 05:46:56.207172
Desert Retail	1250.00	302		300.8	1.3169	4	79%	0	0	0	2020-07-17 05:46:56.207172
LSSales	1500.00	28		550.8	1.5803	4.5	86%	1	0	0	2020-07-17 05:46:56.207172
BagStop	1479.00	504	9-10 days	529.8	1.5582	3.5	57%	0	0	0	2020-07-17 05:46:56.207172
Standard enterprise	1600.00	58	10-12 days	650.8	1.6856	4	100%	0	0	0	2020-07-17 05:46:56.207172
eLITESPORTS	1645.00	1	6-9 days	695.8	1.733	4.5	90%	0	0	0	2020-07-17 05:46:56.207172
Brands India	1699.00	594		749.8	1.7899	4.5	89%	1	0	0	2020-07-17 05:46:56.207172
Baggiz	1740.00	248		790.8	1.8331	4.5	97%	0	0	0	2020-07-17 05:46:56.207172
Ocean Bag	1709.00	112		759.8	1.8005	4.5	83%	0	0	0	2020-07-17 05:46:56.207172
gsienterprises	2000.00	6		1050.8	2.107	3	50%	0	0	0	2020-07-17 05:46:56.207172
REHAN INTERNATIONAL	2440.00	6		1490.8	2.5706	4.5	89%	0	0	0	2020-07-17 05:46:56.207172
