Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
AnandEnterprisesForU	1028.00	11		0.0	1.0	3.5	73%	1	0	1	2020-07-23 00:25:52.939906
BAGSANDLUGGAGE	1028.00	35		0.0	1.0	2.5	40%	0	0	0	2020-07-23 00:25:52.939906
RS ENTERPRISES	1030.00	18		2.0	1.0019	4	78%	1	0	0	2020-07-23 00:25:52.939906
E-Shop Retail	1040.00	80		12.0	1.0117	4.5	85%	1	0	0	2020-07-23 00:25:52.939906
E-TECH RETAIL	1040.00	1	10-12 days	12.0	1.0117	5	100%	0	0	0	2020-07-23 00:25:52.939906
Earth industries	1048.00	29		20.0	1.0195	3	44%	1	0	0	2020-07-23 00:25:52.939906
DEALS AMAZING	1057.00			29.0	1.0282	4	81%	1	0	0	2020-07-23 00:25:52.939906
TODAY'S DEAL	1057.00			29.0	1.0282	4	81%	1	0	0	2020-07-23 00:25:52.939906
A Bags world	1059.50	62		31.5	1.0306	3.5	69%	1	0	0	2020-07-23 00:25:52.939906
BAGS HI BAG	1063.00	71		35.0	1.034	3.5	70%	1	0	0	2020-07-23 00:25:52.939906
THE CONNECT	1066.00	8	12-13 days	38.0	1.037	4	75%	0	0	0	2020-07-23 00:25:52.939906
cloudind	1130.00			102.0	1.0992	4.5	90%	0	0	0	2020-07-23 00:25:52.939906
Standard enterprise	1247.00	1	10-12 days	219.0	1.213	4	100%	0	0	0	2020-07-23 00:25:52.939906
Viva Bags	1249.00	8	5-6 days	221.0	1.215	4	75%	0	0	0	2020-07-23 00:25:52.939906
BagStop	1175.00	58		147.0	1.143	3.5	57%	0	0	0	2020-07-23 00:25:52.939906
Backpack World	1290.00		5-6 days	262.0	1.2549	4.5	89%	0	0	0	2020-07-23 00:25:52.939906
PAXFUL	1299.00		7-12 days	271.0	1.2636			0	0	0	2020-07-23 00:25:52.939906
Deepsum Bags	1900.00			872.0	1.8482	5	100%	0	0	0	2020-07-23 00:25:52.939906
gsienterprises	1918.00	4	7-10 days	890.0	1.8658	3	50%	0	0	0	2020-07-23 00:25:52.939906
MAMMOTH	1999.00	6	6-7 days	971.0	1.9446			0	0	0	2020-07-23 00:25:52.939906
The Skool Shoppe	1910.00		10-11 days	882.0	1.858			0	0	0	2020-07-23 00:25:52.939906
