Price + Delivery	Condition	Seller Information	Delivery
  1,150.00 | Prime : Yes |  |   1,150.00	New	Demeter Mart | 4.5 out of 5 stars  | 93% positive. | 29 total rating	Fullfilled by Amazon
  1,199.00 | Prime : No |  | FREE Delivery. Details	New	Harricane | 3.5 out of 5 stars  | 66% positive | 250 total rating	Fullfilled by Amazon
  1,211.00 | Prime : No |  | FREE Delivery.	New	Baggiz | 4.5 out of 5 stars  | 97% positive | 112 total rating	Not fulfilled by Amazon
  1,219.00 | Prime : No |  | FREE Delivery.	New	RockON | 2.5 out of 5 stars  | 33% positive. | 3 total rating	Not fulfilled by Amazon
  1,224.00 | Prime : Yes |  |   1,224.00	New	Cloudtail India | 4.5 out of 5 stars  | 90% positive | 1,314,069 total rating	Fullfilled by Amazon
  1,299.00 | Prime : No |  | FREE Delivery.	New	dealgram | 3.5 out of 5 stars  | 67% positive. | 6 total rating	Not fulfilled by Amazon | 10-11 days
  1,300.00 | Prime : No |  | FREE Delivery.	New	Titan Company LTD | 4.5 out of 5 stars  | 85% positive | 132 total rating	Not fulfilled by Amazon
  1,311.00 | Prime : No |  | FREE Delivery.	New	PAXFUL |  |  | Seller Profil	Not fulfilled by Amazon | 12-13 days
  1,300.00 | Prime : No |  | +   70.00 Delivery	New	Rdsl retails |  |  | Seller Profil	Not fulfilled by Amazon | 6-7 days
  1,301.00 | Prime : No |  | +   80.00 Delivery	New	The Skool Shoppe |  |  | Seller Profil	Not fulfilled by Amazon | 11-13 days
