Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Demeter Mart	1150.00	29		0.0	1.0	4.5	93%	1	0	1	2020-07-23 20:22:18.782926
Harricane	1199.00	250		49.0	1.0426	3.5	66%	1	0	0	2020-07-23 20:22:18.782926
Baggiz	1211.00	112		61.0	1.053	4.5	97%	0	0	0	2020-07-23 20:22:18.782926
RockON	1219.00	3		69.0	1.06	2.5	33%	0	0	0	2020-07-23 20:22:18.782926
Cloudtail India	1224.00			74.0	1.0643	4.5	90%	1	1	0	2020-07-23 20:22:18.782926
dealgram	1299.00	6	10-11 days	149.0	1.1296	3.5	67%	0	0	0	2020-07-23 20:22:18.782926
Titan Company LTD	1300.00	132		150.0	1.1304	4.5	85%	0	0	0	2020-07-23 20:22:18.782926
PAXFUL	1311.00		12-13 days	161.0	1.14			0	0	0	2020-07-23 20:22:18.782926
Rdsl retails	1300.00		6-7 days	150.0	1.1304			0	0	0	2020-07-23 20:22:18.782926
The Skool Shoppe	1301.00		11-13 days	151.0	1.1313			0	0	0	2020-07-23 20:22:18.782926
