Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
EVAN	890.00			0.0	1.0	4.5	93%	1	0	1	2020-07-24 07:03:14.621756
THE CONNECT	1010.00	8	12-13 days	120.0	1.1348	4	75%	0	0	0	2020-07-24 07:03:14.621756
TODAY'S DEAL	1019.00			129.0	1.1449	4	80%	1	0	0	2020-07-24 07:03:14.621756
DEALS AMAZING	1019.00			129.0	1.1449	4	81%	1	0	0	2020-07-24 07:03:14.621756
Sachdeva Attachi House	1025.00	36		135.0	1.1517	4	72%	1	0	0	2020-07-24 07:03:14.621756
SEASON SALE	1050.00			160.0	1.1798	4.5	94%	1	0	0	2020-07-24 07:03:14.621756
Ocean Bag	1029.00	6	7-9 days	139.0	1.1562	4.5	83%	0	0	0	2020-07-24 07:03:14.621756
Backpack World	1095.00		6-9 days	205.0	1.2303	4.5	89%	0	0	0	2020-07-24 07:03:14.621756
BagStop	1100.00	58		210.0	1.236	3.5	57%	0	0	0	2020-07-24 07:03:14.621756
Balaji E	1240.00	34		350.0	1.3933	4	76%	1	0	0	2020-07-24 07:03:14.621756
V-THREE	1275.00	4		385.0	1.4326	4	75%	0	0	0	2020-07-24 07:03:14.621756
V-THREE	1360.00	4		470.0	1.5281	4	75%	0	0	0	2020-07-24 07:03:14.621756
gsienterprises	1360.00	6		470.0	1.5281	3	50%	0	0	0	2020-07-24 07:03:14.621756
