Price + Delivery	Condition	Seller Information	Delivery
  890.00 | Prime : Yes |  |   890.00	New	E.V.A.N | 4.5 out of 5 stars  | 93% positive | 1,465 total rating	Fullfilled by Amazon
  1,010.00 | Prime : No |  | FREE Delivery.	New	THE CONNECT | 4 out of 5 stars  | 75% positive. | 8 total rating	Not fulfilled by Amazon | 12-13 days
  1,019.00 | Prime : Yes |  |   1,019.00	New	TODAY'S DEAL | 4 out of 5 stars  | 80% positive | 5,873 total rating	Fullfilled by Amazon
  1,019.00 | Prime : Yes |  |   1,019.00	New	DEALS AMAZING | 4 out of 5 stars  | 81% positive | 1,266 total rating	Fullfilled by Amazon
  1,025.00 | Prime : Yes |  |   1,025.00	New	Sachdeva Attachi House. | 4 out of 5 stars  | 72% positive. | 36 total rating	Fullfilled by Amazon
  1,050.00 | Prime : Yes |  |   1,050.00	New	SEASON SALE | 4.5 out of 5 stars  | 94% positive. | 3,841 total rating	Fullfilled by Amazon
  1,029.00 | Prime : No |  | +   50.00 Delivery	New	Ocean Bag | 4.5 out of 5 stars  | 83% positive. | 6 total rating	Not fulfilled by Amazon | 7-9 days
  1,095.00 | Prime : No |  | FREE Delivery.	New	Backpack World | 4.5 out of 5 stars  | 89% positive | 1,272 total rating	Not fulfilled by Amazon | 6-9 days
  1,100.00 | Prime : No |  | +   99.00 Delivery	New	BagStop | 3.5 out of 5 stars  | 57% positive. | 58 total rating	Not fulfilled by Amazon
  1,240.00 | Prime : Yes |  |   1,240.00	New	Balaji .E | 4 out of 5 stars  | 76% positive. | 34 total rating	Fullfilled by Amazon
  1,275.00 | Prime : No | FREE Delivery | FREE Delivery.	New	V-THREE | 4 out of 5 stars  | 75% positive | 4 total rating	Not fulfilled by Amazon
  1,360.00 | Prime : No | FREE Delivery | FREE Delivery.	New	V-THREE | 4 out of 5 stars  | 75% positive | 4 total rating	Not fulfilled by Amazon
  1,360.00 | Prime : No | FREE Delivery | +   70.00 Delivery	New	gsienterprises | 3 out of 5 stars  | 50% positive. | 6 total rating	Not fulfilled by Amazon
