Price + Delivery	Condition	Seller Information	Delivery
  299.00 | Prime : Yes |  |   299.00	New	Cloudtail India | 4.5 out of 5 stars  | 90% positive | 1,314,597 total rating	Fullfilled by Amazon
  320.00 | Prime : Yes |  |   320.00	New	BAGS KART | 4.5 out of 5 stars  | 92% positive | 78 total rating	Fullfilled by Amazon
  359.00 | Prime : Yes |  |   359.00	New	Festivals.. | 3.5 out of 5 stars  | 60% positive | 5,833 total rating	Fullfilled by Amazon
  299.00 | Prime : No |  | +   80.00 Delivery	New	Smart BuyBox | 3 out of 5 stars  | 44% positive | 9 total rating	Not fulfilled by Amazon | 12-14 days
  303.00 | Prime : No |  | +   80.00 Delivery	New	Smart BuyBox | 3 out of 5 stars  | 44% positive | 9 total rating	Not fulfilled by Amazon | 12-14 days
  299.00 | Prime : No |  | +   100.00 Delivery	New	INDIA'S BEST COMPETITIVE PRICES | 2.5 out of 5 stars  | 33% positive | 33 total rating	Not fulfilled by Amazon | 12-14 days
  449.00 | Prime : Yes |  |   449.00	New	Easy Home Deals | 4 out of 5 stars  | 79% positive | 321 total rating	Fullfilled by Amazon
  475.00 | Prime : Yes |  |   475.00	New	Big Bazaar | 3.5 out of 5 stars  | 58% positive | 5,563 total rating	Fullfilled by Amazon
  599.00 | Prime : No |  | +   75.00 Delivery	New	LVDV | 4 out of 5 stars  | 73% positive | 19 total rating	Not fulfilled by Amazon | 9-10 days
  699.00 | Prime : No |  | FREE Delivery.	New	Sumraj India Udyog | 5 out of 5 stars  | 100% positive | 1 total rating	Not fulfilled by Amazon | 3-7 days
