Price + Delivery	Condition	Seller Information	Delivery
  1,130.00 | Prime : Yes |  |   1,130.00	New	Atlantic LLC | 4 out of 5 stars  | 82% positive | 70 total rating	Fullfilled by Amazon
  1,130.00 | Prime : No |  | FREE Delivery.	New	BAGSANDLUGGAGE | 2.5 out of 5 stars  | 43% positive | 36 total rating	Not fulfilled by Amazon | 10-11 days
  1,185.00 | Prime : No |  | FREE Delivery.	New	Digitaly yours | 3 out of 5 stars  | 53% positive. | 36 total rating	Not fulfilled by Amazon | 8-9 days
  1,195.00 | Prime : Yes |  |   1,195.00	New	Catchy Bags | 4.5 out of 5 stars  | 95% positive | 124 total rating	Fullfilled by Amazon
  1,218.00 | Prime : No |  | FREE Delivery.	New	Backpack World | 4.5 out of 5 stars  | 89% positive | 1,272 total rating	Not fulfilled by Amazon | 7-8 days
  1,350.00 | Prime : No |  | +   99.00 Delivery	New	BagStop | 3.5 out of 5 stars  | 57% positive. | 58 total rating	Not fulfilled by Amazon | 10-14 days
  1,499.00 | Prime : No |  | FREE Delivery.	New	cloudind | 4.5 out of 5 stars  | 90% positive | 1,162 total rating	Not fulfilled by Amazon
  1,500.00 | Prime : No |  | +   30.00 Delivery	New	Harricane | 3.5 out of 5 stars  | 66% positive | 250 total rating	Not fulfilled by Amazon | 7-8 days
  1,550.00 | Prime : No |  | FREE Delivery.	New	Standard enterprise | 4 out of 5 stars  | 100% positive. | 1 ratin	Not fulfilled by Amazon
  1,590.00 | Prime : Yes |  |   1,590.00	New	Brands India | 4 out of 5 stars  | 89% positive | 249 total rating	Fullfilled by Amazon
  1,960.00 | Prime : No | FREE Delivery | FREE Delivery.	New	V-THREE | 4 out of 5 stars  | 75% positive | 4 total rating	Not fulfilled by Amazon | 7-8 days
  1,960.00 | Prime : No | FREE Delivery | FREE Delivery.	New	V-THREE | 4 out of 5 stars  | 75% positive | 4 total rating	Not fulfilled by Amazon | 7-8 days
  2,240.00 | Prime : No | FREE Delivery | +   70.00 Delivery	New	gsienterprises | 3 out of 5 stars  | 50% positive. | 6 total rating	Not fulfilled by Amazon | 7-8 days
  2,240.00 | Prime : No | FREE Delivery | +   120.00 Delivery	New	Purvas Shoppe | 4.5 out of 5 stars  | 94% positive. | 18 total rating	Not fulfilled by Amazon | 7-8 days
