Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Coracle India	12995.00	777		0.0	1.0	3.5	62%	1	0	1	2020-07-28 12:49:16.819205
Fossil Orion Mall	12995.00	1	6-7 days	0.0	1.0	5	100%	0	0	0	2020-07-28 12:49:16.819205
Fossil India Gurgaon	12995.00	24	7-8 days	0.0	1.0	2.5	46%	0	0	0	2020-07-28 12:49:16.819205
Fossil India PMC Banglore	12995.00	23	6-7 days	0.0	1.0	2.5	39%	0	0	0	2020-07-28 12:49:16.819205
Fossil India Cyberabad	12995.00	26	5-6 days	0.0	1.0	3	58%	0	0	0	2020-07-28 12:49:16.819205
Fossil India South City Mall Kolkata	12995.00	1	2-3 days	0.0	1.0	5	100%	0	0	0	2020-07-28 12:49:16.819205
Fossil India Hyderabad	12995.00		5-6 days	0.0	1.0			0	0	0	2020-07-28 12:49:16.819205
Fossil India New Delhi	12995.00		8-9 days	0.0	1.0	2	25%	0	0	0	2020-07-28 12:49:16.819205
Fossil India Forum Kormangla	12995.00	4	6-7 days	0.0	1.0	2.5	50%	0	0	0	2020-07-28 12:49:16.819205
Fossil Pacific Tagore	12995.00	2	7-8 days	0.0	1.0			0	0	0	2020-07-28 12:49:16.819205
