Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Cloudtail India	299.00			50.0	1.2008	4.5	90%	1	1	1	2020-07-28 12:49:16.819205
Desert Retail	299.00	28		50.0	1.2008	4	79%	0	0	0	2020-07-28 12:49:16.819205
BAGS KART	320.00	79		71.0	1.2851	4.5	92%	1	0	0	2020-07-28 12:49:16.819205
INDIA'S BEST COMPETITIVE PRICES	249.00	34	10-12 days	0.0	1.0	2.5	35%	0	0	0	2020-07-28 12:49:16.819205
Festivals	359.00			110.0	1.4418	3.5	60%	1	0	0	2020-07-28 12:49:16.819205
Smart BuyBox	299.00	9	10-12 days	50.0	1.2008	3	44%	0	0	0	2020-07-28 12:49:16.819205
Easy Home Deals	449.00	324		200.0	1.8032	4	79%	1	0	0	2020-07-28 12:49:16.819205
Big Bazaar	475.00			226.0	1.9076	3.5	58%	1	0	0	2020-07-28 12:49:16.819205
LVDV	599.00	19	9-10 days	350.0	2.4056	4	73%	0	0	0	2020-07-28 12:49:16.819205
Sumraj India Udyog	699.00	1	2-6 days	450.0	2.8072	5	100%	0	0	0	2020-07-28 12:49:16.819205
Smart BuyBox	303.00	9	10-12 days	54.0	1.2169	3	44%	0	0	0	2020-07-28 12:49:16.819205
