Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
BAG STREET	1380.00	379		0.0	1.0	4.5	91%	1	0	1	2020-07-31 04:06:02.264488
E-Shop Retail	1399.00	80	9-11 days	19.0	1.0138	4.5	85%	0	0	0	2020-07-31 04:06:02.264488
Catchy Bags	1417.00	124		37.0	1.0268	4.5	95%	1	0	0	2020-07-31 04:06:02.264488
Balaji E	1420.00	34		40.0	1.029	4	76%	1	0	0	2020-07-31 04:06:02.264488
YATEE TRADING COMPANY	1420.00	94		40.0	1.029	4	78%	1	0	0	2020-07-31 04:06:02.264488
Digi tree electrical & electronics	1399.00			19.0	1.0138			0	0	0	2020-07-31 04:06:02.264488
eLITESPORTS	1546.00		7-9 days	166.0	1.1203	4.5	90%	0	0	0	2020-07-31 04:06:02.264488
Ocean Bag	1650.00	594	7-9 days	270.0	1.1957	4.5	83%	0	0	0	2020-07-31 04:06:02.264488
V-THREE	1880.00	6	7-9 days	500.0	1.3623	4	75%	0	0	0	2020-07-31 04:06:02.264488
NEW FANCY BAGS	1849.00	4		469.0	1.3399	5	100%	0	0	0	2020-07-31 04:06:02.264488
gsienterprises	1880.00	4	6-9 days	500.0	1.3623	3	50%	0	0	0	2020-07-31 04:06:02.264488
