Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Apace Pvt Ltd	672.00	89		0.0	1.0	4	73%	0	0	0	2020-08-02 08:40:02.817372
Cloudtail India	688.00			16.0	1.0238	4.5	89%	1	1	1	2020-08-02 08:40:02.817372
Olympia Industries Ltd	725.00			53.0	1.0789	4.5	89%	1	0	0	2020-08-02 08:40:02.817372
TODAY'S DEAL	774.00			102.0	1.1518	4	80%	1	0	0	2020-08-02 08:40:02.817372
Net Distribution Services Pvt Ltd	775.00	779		103.0	1.1533	4.5	85%	1	0	0	2020-08-02 08:40:02.817372
Nasher Miles Private Limited	789.00			117.0	1.1741	5	97%	1	0	0	2020-08-02 08:40:02.817372
Discount Junction	1099.00	417		427.0	1.6354	3.5	61%	0	0	0	2020-08-02 08:40:02.817372
Timex Avtansh	1099.00	2		427.0	1.6354	5	100%	0	0	0	2020-08-02 08:40:02.817372
Brand Cart	1176.00			504.0	1.75	3.5	71%	0	0	0	2020-08-02 08:40:02.817372
Discount Junction	1099.00	417		427.0	1.6354	3.5	61%	0	0	0	2020-08-02 08:40:02.817372
Timex Avtansh	1099.00	2		427.0	1.6354	5	100%	0	0	0	2020-08-02 08:40:02.817372
Brand Cart	1176.00			504.0	1.75	3.5	71%	0	0	0	2020-08-02 08:40:02.817372
