Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
BAGS HI BAG	789.38	72		0.0	1.0	3.5	68%	1	0	1	2020-08-03 06:32:55.551157
EVAN	789.38			0.0	1.0	4.5	92%	1	0	0	2020-08-03 06:32:55.551157
HEXA A STORE	790.00	36		0.62	1.0008	2.5	45%	0	0	0	2020-08-03 06:32:55.551157
Desert Retail	796.60	28		7.22	1.0091	4	79%	0	0	0	2020-08-03 06:32:55.551157
BAG STREET	820.00	379		30.62	1.0388	4.5	91%	1	0	0	2020-08-03 06:32:55.551157
ecomstars	849.00			59.62	1.0755	4	79%	1	0	0	2020-08-03 06:32:55.551157
Baggiz	889.50	113		100.12	1.1268	4.5	96%	0	0	0	2020-08-03 06:32:55.551157
Balaji E	912.00	34		122.62	1.1553	4	76%	1	0	0	2020-08-03 06:32:55.551157
BNBLUG	900.00		6-7 days	110.62	1.1401			0	0	0	2020-08-03 06:32:55.551157
Stonehenge Retail	949.00			159.62	1.2022	4	82%	1	0	0	2020-08-03 06:32:55.551157
Ocean Bag	899.00	195		109.62	1.1389	4.5	83%	0	0	0	2020-08-03 06:32:55.551157
Aaresh Enterprises	949.00	6	13-14 days	159.62	1.2022	3.5	63%	0	0	0	2020-08-03 06:32:55.551157
TRENZY WORLD	1080.00	8		290.62	1.3682	4	100%	0	0	0	2020-08-03 06:32:55.551157
Deepsum Bags	1300.00	1	7-8 days	510.62	1.6469	5	100%	0	0	0	2020-08-03 06:32:55.551157
V-THREE	1360.00	4	7-8 days	570.62	1.7229	4	75%	0	0	0	2020-08-03 06:32:55.551157
gsienterprises	1360.00	4	6-7 days	570.62	1.7229	3	50%	0	0	0	2020-08-03 06:32:55.551157
Harricane	1500.00	6	7-8 days	710.62	1.9002	3.5	65%	0	0	0	2020-08-03 06:32:55.551157
