Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
rockstarriyaz	928.00	222		0.0	1.0	4	77%	1	0	0	2020-08-03 12:21:30.970453
EVAN	930.00			2.0	1.0022	4.5	92%	1	0	1	2020-08-03 12:21:30.970453
Rastogi Bag House	935.00	19		7.0	1.0075	4	74%	0	0	0	2020-08-03 12:21:30.970453
ANISH GUPTA HUF	935.00	17		7.0	1.0075	4	71%	0	0	0	2020-08-03 12:21:30.970453
Big Bazaar	950.00			22.0	1.0237	3	57%	1	0	0	2020-08-03 12:21:30.970453
Ved Stores	950.00			22.0	1.0237			0	0	0	2020-08-03 12:21:30.970453
BAGS HI BAG	1099.00			171.0	1.1843	3.5	68%	1	0	0	2020-08-03 12:21:30.970453
Deals7x24	1099.00	72		171.0	1.1843	3.5	71%	1	0	0	2020-08-03 12:21:30.970453
Sh Bala Ji Bag House	1195.00	44	6-7 days	267.0	1.2877			0	0	0	2020-08-03 12:21:30.970453
N K G Enterprises	1450.00		6-7 days	522.0	1.5625			0	0	0	2020-08-03 12:21:30.970453
