Price + Delivery	Condition	Seller Information	Delivery
  1,434.00 | Prime : Yes |  |   1,434.00	New	SanSac Global | 2.5 out of 5 stars  | 44% positive | 9 total rating	Fullfilled by Amazon
  1,439.00 | Prime : No |  | FREE Delivery.	New	JKM ENTERPRISES INDIA | 3.5 out of 5 stars  | 67% positive | 3 total rating	Not fulfilled by Amazon | 7-8 days
  1,486.00 | Prime : Yes |  |   1,486.00	New	Olympia Industries Ltd. | 4.5 out of 5 stars  | 89% positive | 166,757 total rating	Fullfilled by Amazon
  1,596.00 | Prime : Yes |  |   1,596.00	New	Desert Retail | 4 out of 5 stars  | 79% positive. | 28 total rating	Not fulfilled by Amazon
  1,599.00 | Prime : No |  | FREE Delivery.	New	E-TECH RETAIL | 5 out of 5 stars  | 100% positive | 1 total rating	Not fulfilled by Amazon | 9-10 days
  1,650.00 | Prime : No |  | FREE Delivery.	New	Backpack World | 4 out of 5 stars  | 83% positive | 1,275 total rating	Not fulfilled by Amazon
  1,699.00 | Prime : Yes |  |   1,699.00	New	Nasher Miles Private Limited | 5 out of 5 stars  | 96% positive | 22,691 total rating	Fullfilled by Amazon
  1,700.00 | Prime : Yes |  |   1,700.00	New	Net Distribution Services Pvt. Ltd | 4.5 out of 5 stars  | 85% positive | 779 total rating	Fullfilled by Amazon
  1,750.00 | Prime : Yes |  |   1,750.00	New	ecomstars | 4 out of 5 stars  | 79% positive | 2,930 total rating	Fullfilled by Amazon
  1,999.00 | Prime : No |  | FREE Delivery.	New	LAHAR SELECTION |  |  | Seller Profil	Not fulfilled by Amazon | 8-9 days
  2,100.00 | Prime : No | +   80 | +   80.00 Delivery	New	The Skool Shoppe |  |  | Seller Profil	Not fulfilled by Amazon | 9-10 days
