Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
SanSac Global	1434.00	9		0.0	1.0	2.5	44%	1	0	1	2020-08-03 21:57:14.034878
JKM ENTERPRISES INDIA	1439.00	3	7-8 days	5.0	1.0035	3.5	67%	0	0	0	2020-08-03 21:57:14.034878
Olympia Industries Ltd	1486.00			52.0	1.0363	4.5	89%	1	0	0	2020-08-03 21:57:14.034878
Desert Retail	1596.00	28		162.0	1.113	4	79%	0	0	0	2020-08-03 21:57:14.034878
E-TECH RETAIL	1599.00	1	9-10 days	165.0	1.1151	5	100%	0	0	0	2020-08-03 21:57:14.034878
Backpack World	1650.00			216.0	1.1506	4	83%	0	0	0	2020-08-03 21:57:14.034878
Nasher Miles Private Limited	1699.00			265.0	1.1848	5	97%	1	0	0	2020-08-03 21:57:14.034878
Net Distribution Services Pvt Ltd	1700.00	779		266.0	1.1855	4.5	85%	1	0	0	2020-08-03 21:57:14.034878
LAHAR SELECTION	1999.00		8-9 days	565.0	1.394			0	0	0	2020-08-03 21:57:14.034878
The Skool Shoppe	2100.00		9-10 days	666.0	1.4644			0	0	0	2020-08-03 21:57:14.034878
