Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
BAG STREETS	1100.00	387		0.0	1.0	4.5	91%	1	0	1	2020-08-29 09:06:08.443964
Click At Luggage	1100.00	714		0.0	1.0	4.5	95%	1	0	0	2020-08-29 09:06:08.443964
Verizoni LLC	1104.15			4.15	1.0038	4	72%	1	0	0	2020-08-29 09:06:08.443964
TODAY'S DEAL	1140.00			40.0	1.0364	4	79%	1	0	0	2020-08-29 09:06:08.443964
THE CONNECT	1140.00	8	9-12 days	40.0	1.0364	4	75%	0	0	0	2020-08-29 09:06:08.443964
Verizoni LLC	1104.15		6-7 days	4.15	1.0038	4	72%	0	0	0	2020-08-29 09:06:08.443964
HIMANSHU ENTERPRISES01	1299.00		9-11 days	199.0	1.1809			0	0	0	2020-08-29 09:06:08.443964
ABS Attache and Bags Store	1299.00		6-7 days	199.0	1.1809	4	80%	0	0	0	2020-08-29 09:06:08.443964
Traders JM	1299.00	25	9-10 days	199.0	1.1809	5	100%	0	0	0	2020-08-29 09:06:08.443964
Bag Square	1300.00	13		200.0	1.1818	4	83%	1	0	0	2020-08-29 09:06:08.443964
