Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Barman Retail	290.00	59		0.0	1.0	4.5	91%	1	0	1	2020-08-31 18:05:07.070009
SiH	298.00	44		8.0	1.0276	4.5	93%	1	0	0	2020-08-31 18:05:07.070009
Cloudtail India	299.00			9.0	1.031	4.5	89%	1	1	0	2020-08-31 18:05:07.070009
Ganesh bag emporium	290.00		6-7 days	0.0	1.0			0	0	0	2020-08-31 18:05:07.070009
Pass ki dukan	309.00		6-7 days	19.0	1.0655	4.5	87%	0	0	0	2020-08-31 18:05:07.070009
Husamsons	379.00	15		89.0	1.3069	4	83%	0	0	0	2020-08-31 18:05:07.070009
INDIA'S BEST COMPETITIVE PRICES	290.00	112	6-9 days	0.0	1.0	2.5	35%	0	0	0	2020-08-31 18:05:07.070009
VISION CORPORATION	399.00	69		109.0	1.3759	4.5	98%	1	0	0	2020-08-31 18:05:07.070009
Bombay Bag House	399.00	44	5-6 days	109.0	1.3759			0	0	0	2020-08-31 18:05:07.070009
The Skool Shoppe	350.00		7-9 days	60.0	1.2069			0	0	0	2020-08-31 18:05:07.070009
Big Bazaar	449.00			159.0	1.5483	3.5	60%	1	0	0	2020-08-31 18:05:07.070009
Gulati marketing Corporation	599.00		6-7 days	309.0	2.0655	5	100%	0	0	0	2020-08-31 18:05:07.070009
