Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Atlantic LLC	990.00	70		0.0	1.0	4	82%	1	0	1	2020-09-04 13:40:04.012383
Catchy Bags	995.00	124		5.0	1.0051	4.5	94%	1	0	0	2020-09-04 13:40:04.012383
MORE BUY	1008.90	39	7-14 days	18.9	1.0191	3	50%	0	0	0	2020-09-04 13:40:04.012383
Cloudtail India	1083.00			93.0	1.0939	4.5	89%	1	1	0	2020-09-04 13:40:04.012383
Digitaly yours	1185.00	36	10-11 days	195.0	1.197	3	53%	0	0	0	2020-09-04 13:40:04.012383
Backpack World	1218.00		5-7 days	228.0	1.2303	4	81%	0	0	0	2020-09-04 13:40:04.012383
BagStop	1350.00	58	9-10 days	360.0	1.3636	3.5	57%	0	0	0	2020-09-04 13:40:04.012383
cloudind	1499.00		5-7 days	509.0	1.5141	4.5	94%	0	0	0	2020-09-04 13:40:04.012383
Harricane	1500.00	256	9-10 days	510.0	1.5152	3.5	66%	0	0	0	2020-09-04 13:40:04.012383
TRENZY WORLD	1550.00	1	11-12 days	560.0	1.5657	4	100%	0	0	0	2020-09-04 13:40:04.012383
Brands India	1590.00	253		600.0	1.6061	4	89%	1	0	0	2020-09-04 13:40:04.012383
V-THREE	1960.00	4	4-6 days	970.0	1.9798	4	75%	0	0	0	2020-09-04 13:40:04.012383
Purvas Shoppe	2240.00	19	7-9 days	1250.0	2.2626	4.5	95%	0	0	0	2020-09-04 13:40:04.012383
