Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Click At Luggage	2120.00	714		0.0	1.0	4.5	95%	1	0	0	2020-09-04 21:42:27.737721
D-Cart	2125.00	169		5.0	1.0024	4	81%	1	0	1	2020-09-04 21:42:27.737721
BoxWish	2125.00			5.0	1.0024	4	85%	1	0	0	2020-09-04 21:42:27.737721
SuperNV *****	2195.00	25		75.0	1.0354	3.5	67%	1	0	0	2020-09-04 21:42:27.737721
DEALS AMAZING	2273.00			153.0	1.0722	4	76%	1	0	0	2020-09-04 21:42:27.737721
World Market	2289.00	44		169.0	1.0797	4.5	93%	1	0	0	2020-09-04 21:42:27.737721
CLOUD STATION	2295.00	127		175.0	1.0825	4	75%	1	0	0	2020-09-04 21:42:27.737721
Verizoni LLC	2363.00			243.0	1.1146	4	73%	1	0	0	2020-09-04 21:42:27.737721
BAG STREETS	2723.00	388		603.0	1.2844	4.5	91%	1	0	0	2020-09-04 21:42:27.737721
TODAY'S DEAL	2740.00			620.0	1.2925	4	79%	1	0	0	2020-09-04 21:42:27.737721
Verizoni LLC	2363.00		5-7 days	243.0	1.1146	4	73%	0	0	0	2020-09-04 21:42:27.737721
Stonehenge Retail	2799.00	212		679.0	1.3203	4	82%	1	0	0	2020-09-04 21:42:27.737721
PINNACLE RETAIL	2849.00	11	9-12 days	729.0	1.3439	3.5	73%	0	0	0	2020-09-04 21:42:27.737721
Be Fit 12013	2834.00	33	9-12 days	714.0	1.3368	3.5	61%	0	0	0	2020-09-04 21:42:27.737721
