Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Deals7x24	1450.00	45	8-10 days	0.0	1.0	3.5	65%	0	0	1	2020-09-06 03:05:10.577177
CONCEPTENTERPRISES	1528.00		8-9 days	78.0	1.0538			0	0	0	2020-09-06 03:05:10.577177
E-Shop Retail	1529.00			79.0	1.0545	4.5	82%	1	0	0	2020-09-06 03:05:10.577177
Cloudtail India	1530.00	85		80.0	1.0552	4.5	89%	1	1	0	2020-09-06 03:05:10.577177
Quicksell Pro	1600.00		7-10 days	150.0	1.1034			0	0	0	2020-09-06 03:05:10.577177
LAGGAGE	1625.00			175.0	1.1207	3	40%	0	0	0	2020-09-06 03:05:10.577177
JD Hypermart	1480.00		3-7 days	30.0	1.0207			0	0	0	2020-09-06 03:05:10.577177
CHVE	1630.00	5	9-10 days	180.0	1.1241	4.5	92%	0	0	0	2020-09-06 03:05:10.577177
TRENZY WORLD	1650.00		9-10 days	200.0	1.1379	4	100%	0	0	0	2020-09-06 03:05:10.577177
JhakasDeals	1799.00			349.0	1.2407	3.5	69%	1	0	0	2020-09-06 03:05:10.577177
LAHAR SELECTION	1899.00	42	8-9 days	449.0	1.3097			0	0	0	2020-09-06 03:05:10.577177
Purvas Shoppe	2550.00	1	7-9 days	1100.0	1.7586	4.5	95%	0	0	0	2020-09-06 03:05:10.577177
